index,answer,prediction
320,REKLAMA NAPISY NAKLEJKI,ВЕКШШ ~шы ШНКЕЛИ
321,Никаких больше вечеринок,"Щижожи? (04Ъ""ё {МерУток"
322,Машина  куплена в комплекте с правами,Машина куплена в компАекте с правами
323,20,20
324,БИЗНЕС,Еизне
325,Ваша надпись,'аша 'набпшсь
326,К45,
327,НЕКОУЗСКИЙ,~4 Ресв: [ Ресшек некоузский
328,"КЛУБ РЕНО сервисы, помощь, общение, встречи",КЛУБ РЕНО сервисы; псмощъ; общение; встречи
329,PLAY DALNOBOY,"еи оАшово,"
330,Ваша надпись,Шаъ Вашо
331,nokstv.ru,"[@@[""@Ч"
332,СЕГОДНЯ МОЖНО,МИИ 1 |
333,Dicas,"г,  Тасъ"
334,BAD GIRL 230573 POLICE DEPT.,ВА) 6'@_ 230573 РОЦСЕ [ЕРТ
335,1,
336,УПАКУЕМ ВСЁ!,ЧПНКЧЕМ ВЕЁ!
337,Stay wild,9  {яч;
338,STAR WARS,ш: ~ДР;
339,УСАДЬБА СЕМЬИ ТИТОВЫХ,"УСАДЬБА СЕМЬИ ТИТОВЫХ Пастраециа 2014 годт ПЕ:е""лИНГИ аЫ""иини Пшаша БППЕН= ЧШЕФЛНЕЕИНЧ Титала Сергск ЕалерЬеиЧМ УстНРНИНН: [1ты7г"
340,KRONOS,[Ш[ 0 $
341,"Издательство ""Экзамен""","Издашельсшео КЭКЗАМЕН"" ш # "".1  0]? &"
342,АДВОКАТ ЛИТВИНОВ ТА ПАРТНЕРИ,АДВОКАТ ЛИТВИОВ ТАЛАРШНЕР
343,СР ОБЩЕОБР ШКО А,вшша Муниыж отигастду с}шшя ОЫШРОБРАюАлыца шлам
344,фисный центр СПЕКТР,@фисный центр СПЕКТР
345,96 проспект МЕТАЛЛИСТОВ,9 проспект МЕТАЛЛИСТОВ
346,YACHTING Туристическая компания МДМ-Яхтин,"[ ХА СНТ1& € 1""ристичвская КОм Пания МДМ-Яхтин-:"
347,BEER DA,"ВЕЙК@""ЬА"
348,НОТАРIУС,"МШСТЕНТЛКЕМШли НОТАРМУС ~иичЕштшпаы4 иыча ""Еэ и5} 1 ешлиштана м"
349,Детская а искусств,Пат 6т шеъ Атврши штаскпк Детская а искусств
350,ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ,"шмшмнлат Тосудлрнтненныс 1""нъщщанн линакеотрангенка нъпнмАцнонниппшчьский цын ЩЕПАРТАМЕНЯЯДРАПООХРАНЕШЛ гаРОоркты"
351,ОСТОРОЖНО! Во дворе злая собака,ОСТОРОЖНО! Во дворе злая собака
352,ВЫВЕСКА,ВЫвЕСКА
353,ФЕДЕРАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ВСЕРОССИЙСКИЙ ИНСТИТУТ ГЕНЕТИЧЕСКИХ РЕСУРСОВ РАСТЕНИЙ м и Н. И. ВАВИЛОВА,МИНИЛТЕРТРО НГУКИ ИВЬ ЕШЕГО ПьпД_ан-ния РаСЕИСКОК ФЕПЕРАДИН СЕДЕРАЛЬНПЕ ГЧЕОЕАРЧРЕЕННПЯЕБЮДЖЕТНОЕ ФЕДЕРАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ШШЕНТР ВСЕРОССИЙСКИЙ ИНСТИТУТ ГЕНЕТИЧЕСКИХ РЕСУРСОВ РАСТЕНИЙ имени Н И: ВАВИЛаВц @УКтсвпе вста 1Еа
354,о аша ПО ДА!,наша ЛОБЁАА!
355,ИЗГ Б,5 изг
356,гоэлро 2: пуск 2 блока еро-западной тэц,тееое: тэц Фнлляой  оо
357,уход за собой,11 [ ШЦ;
358,Э О УЛИЦА A LIVIN R T 22,
359,красная книга санкт-петербурга 2018,КРАСНИЯ КНИГА САНКТ-ПЕТЕРБУРГА ИП;
360,НЕТ ВОЙНЕ 2.7,"ВОЙНЕ 27 П9 ч"") {яТ"
361,RPK Group ТИПОГРАФИЯ,"#ЬСгчр ""ТИПСГРАФИЯ"
362,1 2,1х2
363,Ф,
364,Восстания,[Восстания
365,РОССИЯ,'ЕВЕБЙя
366,СИТИ БЛАНК,ЕЕлдик
367,City,
368,СТАРТ,Шяа СТАРТ
369,Это наша ПОБЕДА!,ХЗБЕАХ'
370,Coco Bongo,{8@
371,crpp.ru,Пн сГПа п
372,УВАЖАЕМЫЕ ЖИТЕЛИ САНКТ-ПЕТЕРБУРГА! ПРИГЛАШАЕМ ВАС ПРОЙТИ ВАКЦИНАЦИЮ ОТ COVID-19,"УВАЖАЕМЫЕ ЖИТЕХИ СДНКТ-ПЕТЕРБУРГД ! ПРИГА @ШЕЕМ Ецг ПРОЙтИ ЕАКЦИНАЦИЮ БПУП 1 € ЗыпиЕлтьса#ппакшни-икюмЕо Бпнтан Еш:-]ц Топт 4пьям ""1ти миарчпцяшиш чгын ПЕЛЕ ЫЫШ< [а,- 'рщшчитшин саься 9 об 2 Дг[а ШЗКШИнЗЦнм 9 {!ш: =пи-ппнул н-+апч тамъЕна"
373,"BANNER more sensors, more solutions","'ваматъд, щоге з@п:о<$; щоге $6о>$"
374,МЫ ОТКРЫЛИСЬ!,ЛПЭШЕЫ
375,Фотофакт. На Исаакиевском соборе в Санкт-Петербурге появился баннер Не РПЦ. Подробности скандала,"иан Фотофакт: На Исаакиевском соборе в Санкт-Петербурге появился баннер ""Не РПЦ' Подробности скандала"
376,Героические защитники Ленинграда,Героические защитники Ленинграда
377,БЕЗОПАСНОСТЬ информационных технологий ФОРУМ - САНКТ-ПЕТЕРБУРГ 2021,БЕЗОПАСНОСТЬ БИТ информационных технОЛоГиЙ ФОРУМ САНКТ-ПЕТЕРБУРГо 2021
378,Peterfood,"""еФД пппава ВОННАя выетъан Ре@г{ 9ф ынырэн Еини-Пттчнан Клятчягии; ГйПА ~О пгани-нк ! СЫТЯ (₽п4л-чаляна"
379,ПОСЛЕ ПОБЕДЫ Ленинград,1 ПОСЛЫ ПОБЕДЫ Иле
380,IV САНКТ-ПЕТЕРБУРГСКИЙ АРИТМОЛОГИЧЕСКИЙ ФОРУМ 18-21 мая 2022 года Санкт-Петербург,[У САНКТ-ПЕТЕРБУРГСКИЙ АРИТМОЛОГИЧЕСКИЙ ФОРУМ 18-21 мая 2022 года Санкт-Петербург
381,официальный дилер в санкт-петербурге и ло,ОФИЦИАЛЬНЫЙ ДИЛЕР В САНКТ-ПЕТЕРБУРГЕ И ЛО
382,Тула,Тула Гя
383,КАРТА РАЗВИТИЯ ОСВЕЩЕНИЯ САНКТ-ПЕТЕРБУРГА 2022-2024 ГОДЫ,КАРТА РАЗВИТИЯОСВЕЩЕНИЯ САНКТ-ПЕТЕРБУРГА 2022-2024 ГОДЫ
384,SAINT PETERSBURG,Я^т РЕТЕРЗ:Ы;
385,ИНВЕСТИЦИОННЫЙ САММИТ РГУД 17 марта 2022 Санкт-Петербург,инвЕстиЦИОННый САММИТ РГУД марта 2022 'санкт Петербург
386,С ДНЁМ РОЖДЕНИЯ!,ДНЕМ РОЖДЕНИЯ]
387,Visit Saint Petersburg!,"КомИТЕТ РАЗВИТИЮ {РЛСМ 1РКЕЫЧЕЕ шТыгннв САНКТ-ПЕТЕРБУРГА БЮРО [йз+ $,й<+ Ре+@ зЬч 9!"
388,СПБ ГБУЗ ГОРОДСКАЯ БОЛЬНИЦА,СПЕ ТызПИЕМЪЕВА
389,НАША ВЕЛИКАЯ ПОБЕДА,'ЧЫР 'ВЕКАЯ ПОБЕДА НАША
390,MARLIN Лодки-Питер официальный дилер,МА?_` ₽шЬ;- Лодки-Питер афициальный дилер
391,УПОЛНОМОЧЕННЫЙ ПО ПРАВАМ ЧЕЛОВЕКА В САНКТ-ПЕТЕРБУРГЕ,УПОЛНОМОЧЕННЫЙ ПО ПРАВАМ ЧЕЛОВЕКА В САНКТ-ПЕТЕРБУРГЕ
392,Филипп Бедросович Киркоров,3<:- 21 анлябЕя 201 - &оомои Роашсхош тзСтрааы пагаан шитоссии@чер9ш Фцлцпп Бебросовшч Каркоров наршт
393,В ПАМЯТЬ О ГЕРОИЗМЕ И МУЖЕСТВЕ ЛЕНИНГРАДЦЕВ В ДНИ 900 ДНЕВНОЙ1 БЛОКАДЫ ГОРОДА СОХРАНЕНА ЭТА НАДПИСЬ.,В ПАМЯТЬ 0 ГЕРОИЗМЕ И МУЖЕСТВЕ АЕНИНГРААЦЕВ В АНИ 9оо АНЕВНОЙ БАОКАДЫ ГОРОАА СОХРАНЕНА ЭТА НАДПИСЪ
394,Фамилия Имя Отчество,"Фамилия Имя Отчество 12 [2.2012 - 12022112"""
395,ГР Сергей,Сергей
396,СЕРГЕЕВА-ЦЕНСКОГО,герган Нъгтд ЕВИЧА СЕРГЕЕВА-ЦЕНСКОГО Пааз
397,Кутузов Александр Петрович 1777 - 1817,"Кушузов   Алексанор Яёешрович 1777 - 1817 Тенерал-майор, кавалер ороенов: Сз: #6 80 #асс;; Се: Фхадажира 3-# €""еценц, Съ; Теораая 4-20 класса  Сароаско2 Со Яазрцкая Лазаря бсхьщо2о кресна; имебший золощую 17а2)) набшсьюо ""За храбросиь сребряную жсоаль памяшь 1812 :)6 Теров 8о1н Францчей учаспк сажен: ко0 /усшераинем Фридхандож, ФБородино Ларушино Малоярославцеж; Красккы# : Люшненож Лосле Фороотжско2о сражения Тенерах Фохнуров докмывад фехьомаршалу киязю Кушузову Ж:%: эмаёАовскчй # Дшповский похки ооказахи ооспошную ""Русских храброспь Необыкновен ыж €вошж муяесп8ож они уерживалн спрежхенше #епрцяшезей "" поражаяи {<ловсюоу шыкажи Жочъ засшч2хл Узжайховскай подька пож мескке Ал Изжайлбастом пол 20е 0# споял поушру Жушузов 60324681 <20. поске ранения #шБехи с#рших командшров . Яука был Шлекшем Ажузсчг Феревни Кузнецово жнэиан; тги ватш 20Ялыш чеашш  Х1ъуалюота тадш Фуоклл 0 -0 Экя рании6 8)? &тмаоро О1 повамкоя Фонжат {7 мглш. Еаы /41 Шгид 243 + аз@г- Яжался 'роЗозым ш_"
398,ВЫСШИЕ ЖЕНСКИЕ БЕСТУЖЕВСКИЕ КУРСЫ,"ИЯП ""КЕНЕКИН БГГГ Крсы"
399,РОМАНОВ Петр Алексеевич 1672 - 08.02.1725,томАнов Птр Алегеешич лаатъа
400,Лучшему ЗТРу,учшему ЗТРУ
401,Миронова Валентина Валерьевна,Миронова Валснтина Валерьсвна чаптэчат пНЕкк11;
402,ВЕТЕРАН,ВЕТЕРЯН ? ОТЕЧЕСТЛЕННОМ
403,Анашкин Владимир Васильевич 10.11.1951 - 28.03.2014,"@< ЭЗа9члищ"" ЭЗас_ьеби 70.14.4954 28.03.2044"
404,МОНОЛИТ СТОУН изделия из гранита,монолит СТОУН иъпррн
405,ШЕРШНЕВА 1 УЛИЦА,ШЕРШНЕВА
406,Мемориальная колонна века,"Шемапалинат #ра.= Х,Ш] некя"
407,СВЯТОЙ ИСТОЧНИК ЖЕНСКАЯ КУПЕЛЬ,@ЕЯТОЙ ИСТОЧНИК женсКАЯ купСАь
408,Валерий Александрович 05.2016,Взлерай АЕлеКсандрович ч4?
409,БИМ,
410,"Поклон тебе, сестричка","""Поклон тсйе, сестричка * ССЕНАК ШаШксп4нииаываНЕШНПтчь ШгЕцч5 ЕленьиЕ-я-ю = зъ-Ш ШазПЧакУшчкы Езашч; фыыпка Шня-ШЕпЕ шь Нмлнт тыл рт:= Шетян ЦапШяи П~Ш1ке ш: !5: Снлыптп: ппПГаллы К#Енний мтмшЭю МАяЧЕнк ""же ""ктпгелп Шнеун нПнми ткнирач ""ексе 'га"
411,Together Forever...,%о%е+`т (от'тет.
412,МЕМОРИАЛЬНЫЕ И ПАМЯТНЫЕ ДОСКИ,ШЕМОРИАЛЬНЫ ПАМЯТНЫЕ ДОСКИ имитъш экэ# 1 ащв
413,Это нашей истории вехи,"Это нашсй истории всхи Ш,аттыпин П] #ишккнн:# Пнненшыы"" Ин;шы/' 9  с"
414,мерня нна Евсеевна 18.10.1925-28.03.2011,мерня нна [всеевна {810195-8803900
415,ХРАМ Св. благоверного великого князя Александра Невского,"Явгсузссэн матэваа,т прщ Апии ХРАЛ @к  Б.агокерного Ке,НжАго АлЕксандра ПексксГ? кнЯЗЯ Еи: Тч4."
416,Таблички с отметками наводнений восстановили в Петропавловской крепости,"^ ` = 7 ' ;Е'?: 2 КР @_ Общество ОВЪПО ОЬНИ ₽'.;' , ,;₽' {: В ГГ 1 ' ГЁ;]ЯЬ  } ; П615 Таблички € отметками наводнений восстановили в Петропавловской крепости"
417,УВАГА! ВЕДЕТЬСЯ ВIДЕОНАГЛЯД,УВАГА: ВЕДЕТЬСЯ ВДЕОНАГЛЯД
418,Евсеева Раиса Ефимовна 22.11.1926 - 15.04.2020 Вечная память...,"Евсеева Раиса Ефимовна 22.11.1926 -75.04.2020 ЭЗ@я У^ЗНМАСЕ ~""я ="
419,www.shukach.com Автор фото Tan-Tol,АЕБРРЭС шш $/ц[;-/со/ Авто фотс Дап-Л[ {Бь3 ^ 1 4
420,Горько!,оръёо !
421,Анфиса 20.12.2006-17.02.2022,Анфиса 20.12.2006-17.02.2022
422,Аветисян Эвелина Арташесовна 02.VIII.1936 - 28.VIII.2009,2в~те^ эвехии Арташесов 2х УА  02.У-9з6
423,Петрова Ирина Васильевна 12.03.1898-14.05 т2,Петрова Ирнна Васнкьевна 12.03.1898-14.05. т2
424,СБЕРБАНК РОССИИ,СБЕРБАНК РОССИИ
425,АНИКЕЕВ Владимир Иванович 22.01.1951 - 09.10.2018,АНИКЕЕВ Владимир Иванович 22.011951 - 09.10.2018
426,Самвел Григорьевич / КОЧАРЯНЦ,САЧЕЕЛ ГРМГОРЬЕВИЧ Ч 4 ₽ Я Н Ц
427,ДОБРОВОЛЬСКИЙ ВАЛЕРИЙ ИВАНОВИЧ 20.11.1959 - 18.07.2020,ДОБРОВОЛЬСКИЙ ВАЛЕРИЙ ИВАНОВИЧ 20.11.1959 - 18.07.2020
428,Минеев Александр Евстафьевич 10.09.1922 - 15.08.1998,"08 Ый Минесе Александр3 ) Евстафьевич 7.1998 ,15.08 . 41922 . 10.09."
429,ФЕТИСОВ ВАНЕЧКА,ЕЕчНа; Пи-н} ФЕтисов ВАНЕЧКА ацазпч
430,ЗАВОДСКАЯ 29,{ЗАВОДСКАЯ 29
431,ЗОРИН,";ндгси ;ЦА7ЫПЪПиъ ЗОРИН чыа[ячЕ КЕ]ИпАчн ""хнясеРвча р ПРЕЛТЕ;Пна Ееналино п"""
432,VLADIMIR SKROD 02.1955 - 05.02.,"ПМ 1 $кжоы ~_А.Ш`К 05.02, ~02.11955"
433,ФАМИЛИЯ  Имя Отчество 00.00.0000 - 00.00.00000,ФАМИЛИЯ ИМя Отчество оО.ос.0ООО- оО.0о.00О05
434,ЧУБАРОВА,ЧУЕАРОВА ш #2
435,ФАМИЛИЯ Имя Отчество 00.00.0000-00.00.0000.,"92 9@ ФАМИЛИЯ Имя Огчество оо.оо.оооо-оо.оо,оооо ""ам]Ц-зшЪ] ~й_Е = 'б"
436,КОРОБИЦКАЯ Элеонора Владимировна 20.09.1937 - 07.12.2018,КОРОБИКАЯ ЭЛЕОНОРА ВЛАДИМИРОВНА 20.09./937 [ 12.2018 ЛЮБИМОЙ М#МЕ и БМБЧШКЕ ЛМНИМ ВсЕГДН.
437,ГРЕШИ ЯРЧЕ,ЯРЧЕ ГРЕШИ
438,ХОЧУ ЗАМУЖ ВИНА,ХОЧУ ЗАМЖЖ ВИНА
439,СНИМИ С МЕНЯ ответсвенность,СНИМИ С МЕНЯ ОТВВТСВВННОСТЬ
440,я никакой как все,Ч НИКПЮОЙ КПК В:
441,"НЕ АЛКАШ, А ДЕГУСТАТОР","НЕ АЛКАЩ, ^ ДЕГУСТАТОР"
442,Я РУССКИЙ,РУССКИЙ
443,СВЯТАЯ РУСЬ,(ытаф
444,"ПОЖАЛУЙСТА, / ВКЛЮЧИТЕ СКРИПТОНИТА","ПОЖАЛУЙСТА, ВКЛЮЧИТЕ СКРИПТОНИТА"
445,Я РУССКИЙ,[УЗЯКИЙ
446,тупые дефки как же я вас блин ненавижу,тупые дефки как же я вас блин ненавижу
447,MOSKOW,Мб84@ж
448,РОССИЯ ЖИВЁТ СКОРОСТЯМИ,
449,Любимая ЖЕНА,{юВшщан ЖЕЙ
450,123ФУТБОЛКИ,ФУТБОЛКИ
451,ВЕДЬМЫ НЕ СТАРЕЮТ,[Н ₽ ВЕДЬМЫ [С ТА ₽ Е Ю Т
452,Тройной бонус МТС утраивает ваш стартовый баланс,Т роЙй МТСутиал Етартовьм 65лис Бонус
453,Летний безлимит на три любимых номера Акция с 14 мая по 31 августа,"{Летний безлимит% на три любимых номера Ация €14мая па авгупта Уней (одеше 06 68 Б,лабн"
454,Знай каждый номер в лицо.,"каждый номер в лицо Е30 ""ы  /,с#со/ Знай"
455,МОНЕ,МОН€ БЛШебство нежду намИ 5шш _ (шъ 5Еш джинсовый стак СКИДКИ 7036
456,"СИЛА В ПРАВДЕ, КТО ПРАВ, ТОТ И СИЛЬНЕЕ ","401 Елыя п7ц? #ет не тпЁо?   #ету; #-,Л[О )ОБМАНУЛ, ~КИЛ7 ПРО ""#ст д} АЧА? Смивиавна ПРАРАВ ТСИЛЬНЕЕ намкл 'вкег ашнышъа; Спл #АНИЛЫВ"
457,ВСЕ РАВНО?!,@ЕЕРАВНОТ |
458,СИБИРСКОЕ ОТДЕЛЕНИЕ РОССИЙСКОЙ АКАДЕМИИ НАУК,СИБИРСКОЕ ОТДЕЛЕНИЕ РОССИЙСКОЙ АКАДЕМИИ НАУК
459,LG, ЛЛАСЯЕНЕ }
460,РЕКЛАМА НА ЩИТАХ,РЕКЛАМА НА ЩИТАХ 7
461,ВАША РЕКЛАМА,Ши РЕ]ЛАмЯ
462,ЗДЕСЬ НЕ МОЖЕТ БЫТЬ ВАШЕЙ РЕКЛАМЫ!,ЗДЕСЬ НЕМОЖЕТ БЫТЬ ВАШЕЙ РЕКЛАМЫ!
463,ЩИТЫ 3Х6 В ВОРОНЕЖЕ,"83л,л ВЕСЫ КАССЫ МЗОРыАЕНЕ ЩИТЫ ЗХ6 В ВОРОНЕЖЕ"
464,БЕТОН,(291 слово БАн НАШЕ 777 78 71 +375
465,"Спасибо,  доктор!","Съасц4; ЕРЕТЛАНА ГЪНЧ""КТВА шж, Касстсцотар &с0424/1"
466,ШАЛЯПИН,шпишн
467,JOHN DOS PASSOS MANHATTAN TRANSFER,ЗО-~ [О$ ₽ДЗЗОЗ МАМНАПЫМ '#/.З-:?
468,99 ТАПОЧКИ,99.9 ТАПЕЧНИ
469,ТОВАРЫ,45  0 ТОЗРЫ Атаъматуммивн геавит
470,День Главбуха,День Главбуха
471,FITNESS GYM,"""шгичыи [* З56 лЛл 4Штв; Пшя"
472,7,
473,Держим это место для вас!,Птаит Дерким Это место ^ла рас'
474,строительный,СТРОИТЕлЬНЫ?
475,THE FIRST-EVER,НЕ П@ЗТ-Е'Е? [я  апнси+нлО Б?}
476,NOT SORRY FOR THE WAY I LOOK,"~&д+; $'&:? #о/ тИь ""4У [ФФЩ"
477,- КАКАЯ ПАНАМА?,КАКАЯ ПАНАМА?
478,"В чём сила, брат?",В чём брат? сила;
479,Carlo Rame o Cou,Саг^?яш-@(<:с 1 [ МО5 Ю]
480,"ЭТА НАДПИСЬ НИ НА ЧТО НЕ прЕТЕНДуЕТ. Ну, может быть, кромЕ ПрОЧТЕНИЯ","ЭТА НАрпИ(Ь НИ НА НЕ ПЕТЕННУЕт; Ну,МЬЕТ БЫТЬ КРФМЕ ПрОУТЕНИЯ ПТо"
481,43,*
482,ТЕБЯ,ПЕПО
483,"УЙДИ, НО ОСТАНЬСЯ",НО ОСТАНЬСЯ УИжИ
484,g,
485,Расцветай! пока в тебе что-то осталось.,РосщЗемо & гглп огмяхось Щ-бе томщ ть
486,К ЧЁРТУ ВАШУ ВЗРОСЛУЮ ЖИЗНЬ!,~ор #ы€₽ #рыз ? @
487,ISIS,1'1Я
488,K,' } ~оэу ~
489,r.,"~""' ""78"
490,ЛА АК,НКш
491,Город Чистых Стен Тверь - город воинской славы,Город Чистых Стен вааь горЕл ваинскпи -Лавы
492,КРЫМ КРАЙ ПАРТИЗАНСКОЙ СЛАВЫ,цювм @@ [Шшн ПАМШИшКОМ
493,ЧЕЛЯБИНСК,ЕЙЕДЕИ
494,ЧЕРЕМХОВО,'ДЕГЕМХШН
495,МАРIУПОЛЬ,778 (4
496,МЫ ВАШ ТЕКСТ,Е > ВАШ
497,ЛЕНИНГРАДСКИЙ ФРОНТ КОМАНДУЮЩИЙ МАРШАЛ СОВЕТСКОГО СОЮЗА Л.А. ГОВОРОВ,ХЕНИНГРААСКИЙ ФРОНТ КОМАНАЮШИЙ МАРШАЛ СОВЕТСКОГО СО*Ъ; ЛА: ТОРОРОВ
498,ГАГАР СКИЙ РАЙОН,ТАГАМШЕКИ РАИОА]
499,Sir Charles Clore Park,ЯНЛВНУШН {[[*-]З *-
500,САМАРА,(~А
501,МОСКОВСКАЯ ОБЛАСТЬ,ЖОСкО_сМ= ОБЛАСТН
502,Марiуполь,МарУПО _.
503,ЛЕНИНСКИЙ РАЙОН,"""ищскил Ра;"
504,КАЗАКСТАН,КаЗНКЕТНН
505,а,{д
506,ХАКАСИЯ,
507,САРАТОВ ГОРОД ТРУДОВОЙ ДОБЛЕСТИ,ТОРОА САРАТОБ ТРУДОВСЙАОБКЕОТИ
508,Я НОВОРОС ИЙСК,НОВоРосСййск
509,Я Красноярск,КРАСНОЯРСК
510,1843,
511,Место дуэли,"Мест, Дуллн"
512,Я,@ОШ*8О ;
513,EQUATOR,$ [Шашы
514,Стелла,Яжел-у
515,МАСЛОВ Юлий Георгиевич,ЧАтоа 1
516,СЕРГЕЙ ИОНОВИЧ 09.02.1954 - 30.09.2006,иАплов СЕРГЕЙ ионокп [944]5 - #Л9 Ж#
517,1941 1945,8300 8 1941 1945
518,НОСИТЕ ШЛЕМ,НОСИТЕ ШЛЕМ
519,Лучшая карта  с кэшбэком,'Пгша партэ ашомам
520,30,430 'И 
521,МЕБЕЛЬ,МЕБЕЛЬ мескы : Алшныше нъхов ЯЮ
522,МОСКВЕ ВАЖЕН ВАШ ВЫБОР! 9 СЕНТЯБРЯ,МЗЕКВЕ [П ВАшвш ЯСЕНТ2БРЕ ЕПм
523,Смоленск,Склнш
524,МОСКВЕ ВАЖЕН ВАШ ВЫБОР!,"шмн *,ЕКП [ ВАЖЕН ' ГЕНТЯБЕН (им"
525,частный детский сад начальная школа 8 495 137 87 02 academ-school.ru,"САД 'дЕтскИЯ  чАСтНЫЙ , 'ШКОЛА  НАЧАЛЬНАЯ  8 [695) 137-87- асаае-нлоз_"
526,Reebok EA7,@@ФЖК Е47 [ЛКУИ
527,Москва - город герой!,[осква город герой}
528,8-800,
529,ТЕХНОПОЛИС МОСКВА,ТЕХНОПОЛИС МОСКВА
530,Мария Хренова,МОСКВА; Московский госупарственный университет имени м:в Ломоносова Назролй ФИЦ Биотехнологии РАН Ученый З5лет мария Хренова Разработала модели дляописания Ферментамивных реакций имеющих практическое значениедля медицины 0+ годнаукиорф [(495) 225 20-40 ШОВА РАСВЭРО Ш} ПОРДИИЫ Шоя ШИМЛЮ
531,WomanJournal.ru портал для разных-преразных женщин,Ф $ 1 Ъ>:<]огагъ портал для разных-преразных женщин
